Timestamp,1. what is your age,2. What is your gender?,district,4. In which village or area do you live?,5. How many years have you been farming?,6. Do you farm on your own land or rented land?,7. What type of crops or produce do you grow?,8. What is the approximate size of your farm?,9. What is your average production per season?,10. Where do you sell most of your produce?,local_price,city_price,13. Transport frequency,transports_to_city,transport_cost,challenges,phone_ownership,18. Internet access,19. Comfort using apps,use_app_willingness,21. Payment methods,preferred_solutions,23. Willing to join cooperative,24. Biggest challenge (open-ended),25. Recommended solution (open-ended),26. Consent,27. May we contact you?,28. Phone number (optional),price_difference,profit_potential
1/29/2025 9:45,45–54,Female,Karonga,Purpose Village,Less than 1 year,Own land,"Maize, Fruits, Groundnuts",More than 5 acres,76,Middlemen,827.39,995.7834721,Once per season,Yes,14917.95,No transport,Smartphone,Never,4,Yes,Cash,"Price information, Cooperative transport, Aggregation centre",4,Shoulder future fall citizen about.,Serve light past town.,Yes,No,,168.39347210000005,-14749.5565279
4/23/2025 21:04,55+,Female,Mzimba,Brother Village,Less than 1 year,Own land,Beans,1–2 acres,15,Home/Village,153.68,218.1601151,Monthly,Sometimes,,"Middlemen, Long distance",Smartphone,Sometimes,4,No,"Cash, Mobile Money","Price information, Aggregation centre",1,Will seven medical blood personal.,Eight strong nature.,Yes,No,,64.4801151,
9/18/2025 20:33,35–44,Female,Karonga,Ago Village,More than 15 years,Own land,Fruits,Less than 1 acre,109,Home/Village,222.17,290.8436044,Occasionally,Yes,10265.75,"Bad roads, High cost, No transport",Feature phone,Always,1,Maybe,Bank,"Mobile app, Price information, Cooperative transport",1,Participant check several much single morning a.,Month book explain feeling answer information soldier lead.,Yes,No,,68.67360440000002,-10197.0763956
1/27/2025 3:51,55+,Male,Dedza,Site Village,4–7 years,Rented land,Fruits,1–2 acres,105,Middlemen,370.22,633.3236648,Occasionally,No,,"Spoilage, Bad roads, No transport",Smartphone,Always,5,No,Bank,Aggregation centre,1,Major born guy world southern dream.,Student matter movie place.,Yes,No,,263.10366479999993,
4/8/2025 8:34,55+,Male,Mzimba,Face Village,4–7 years,Family land,"Vegetables, Maize, Rice",1–2 acres,18,Town market,715.2,1012.737093,Once per season,Sometimes,,"Spoilage, Long distance",No,Always,4,Maybe,"Bank, Cash",Price information,4,There water beat magazine attorney.,Drop century investment pass drive indicate professor.,Yes,No,,297.5370929999999,
2/8/2025 3:18,25–34,Female,Mzimba,Election Village,More than 15 years,Own land,Maize,3–5 acres,64,Local market,823.47,1042.483064,Weekly,Sometimes,,Spoilage,Feature phone,Sometimes,1,Maybe,"Mobile Money, Bank",Price information,1,She campaign little near enter their institution.,Model guess well name.,Yes,No,,219.01306399999999,
3/18/2025 16:03,35–44,Female,Mzimba,Dog Village,8–15 years,Rented land,Beans,More than 5 acres,34,City market,703.01,864.4995768,Never,Yes,8808.97,"High cost, Middlemen",Smartphone,Rarely,4,Yes,Mobile Money,Mobile app,3,Up sense ready require human.,Never hospital like player wonder effect administration.,Yes,No,,161.4895768,-8647.480423199999
10/9/2025 18:58,35–44,Male,Lilongwe,Chair Village,4–7 years,Rented land,Vegetables,3–5 acres,39,Local market,633.39,845.2834109,Once per season,Sometimes,,"Bad roads, High cost",Feature phone,Sometimes,5,Maybe,"Mobile Money, Cash","Mobile app, Cooperative transport, Training",5,Just military building different full open.,General run pick sign.,Yes,No,,211.89341090000005,
8/14/2025 11:32,35–44,Male,Mangochi,Since Village,Less than 1 year,Family land,"Maize, Vegetables, Beans",3–5 acres,89,Middlemen,514.91,713.5089648,Once per season,Yes,11229.11,"Middlemen, High cost, Long distance",Feature phone,Rarely,3,No,Cash,"Mobile app, Training, Cooperative transport",3,Open according remain arrive attack.,Card good full poor store range.,Yes,No,,198.59896479999998,-11030.511035200001
7/9/2025 4:56,55+,Female,Lilongwe,Blue Village,Less than 1 year,Own land,"Fruits, Vegetables, Rice",3–5 acres,41,Home/Village,210.69,356.5930651,Monthly,Yes,7512.88,No transport,Feature phone,Sometimes,5,Maybe,"Cash, Bank","Aggregation centre, Mobile app, Price information",1,Teacher audience draw.,Place specific as simply leader fall analysis.,Yes,No,,145.9030651,-7366.9769349
